('05/18/2013', ('PETIT LARCENY', '40.754989552', '-73.844434938', 'Mets', 'gameday'))
('05/18/2013', ('ASSAULT 3 & RELATED OFFENSES', '40.826725409', '-73.922737797', 'Yankees', 'gameday'))
('05/18/2013', ('GRAND LARCENY', '40.754989552', '-73.844434938', 'Mets', 'gameday'))
('05/18/2013', ('GRAND LARCENY', '40.754989552', '-73.844434938', 'Mets', 'gameday'))
('05/18/2013', ('GRAND LARCENY', '40.754989552', '-73.844434938', 'Mets', 'gameday'))
('05/18/2013', ('GRAND LARCENY', '40.754989552', '-73.844434938', 'Mets', 'gameday'))
('05/18/2013', ('GRAND LARCENY', '40.754989552', '-73.844434938', 'Mets', 'gameday'))
('05/18/2013', ('GRAND LARCENY', '40.754989552', '-73.844434938', 'Mets', 'gameday'))
('05/18/2013', ('GRAND LARCENY', '40.754989552', '-73.844434938', 'Mets', 'gameday'))
('05/18/2013', ('GRAND LARCENY', '40.754989552', '-73.844434938', 'Mets', 'gameday'))
('05/18/2013', ('HARRASSMENT 2', '40.827385306', '-73.924496737', 'Yankees', 'gameday'))
('05/18/2013', ('ASSAULT 3 & RELATED OFFENSES', '40.827443603', '-73.921374725', 'Yankees', 'gameday'))
('05/18/2013', ('OTHER STATE LAWS (NON PENAL LA', '40.828704996', '-73.927978585', 'Yankees', 'gameday'))
('05/18/2013', ('DANGEROUS DRUGS', '40.83068979', '-73.92426172', 'Yankees', 'gameday'))
('05/18/2013', ('HARRASSMENT 2', '40.831578538', '-73.927697229', 'Yankees', 'gameday'))
('05/01/2013', ('HARRASSMENT 2', '40.832293428', '-73.929745377', 'Yankees', 'gameday'))
('05/01/2013', ('OFF. AGNST PUB ORD SENSBLTY &', '40.825789871', '-73.92335314', 'Yankees', 'gameday'))
('05/01/2013', ('OFFENSES AGAINST PUBLIC ADMINI', '40.826405951', '-73.92115554', 'Yankees', 'gameday'))
('05/01/2013', ('FELONY ASSAULT', '40.826284877', '-73.920707634', 'Yankees', 'gameday'))
('05/01/2013', ('CRIMINAL MISCHIEF & RELATED OF', '40.832741241', '-73.921870763', 'Yankees', 'gameday'))
('04/24/2013', ('GRAND LARCENY', '40.831854352', '-73.921362286', 'Yankees', 'gameday'))
('04/24/2013', ('GRAND LARCENY', '40.827819901', '-73.925930756', 'Yankees', 'gameday'))
('04/24/2013', ('DANGEROUS DRUGS', '40.828325436', '-73.931180477', 'Yankees', 'gameday'))
('11/03/2014', ('GRAND LARCENY', '40.827819901', '-73.925930756', 'Yankees', 'not_gameday'))
('11/03/2014', ('BURGLARY', '40.759407036', '-73.845312602', 'Mets', 'not_gameday'))
('11/03/2014', ('FELONY ASSAULT', '40.832741241', '-73.921870763', 'Yankees', 'not_gameday'))
('11/03/2014', ('GRAND LARCENY', '40.830702032', '-73.922039379', 'Yankees', 'not_gameday'))
('11/03/2014', ('PETIT LARCENY', '40.826620524', '-73.921867109', 'Yankees', 'not_gameday'))
('09/23/2011', ('ASSAULT 3 & RELATED OFFENSES', '40.828723865', '-73.923190768', 'Yankees', 'not_gameday'))
('09/23/2011', ('HARRASSMENT 2', '40.828157578', '-73.921886985', 'Yankees', 'not_gameday'))
('09/23/2011', ('DANGEROUS DRUGS', '40.828723865', '-73.923190768', 'Yankees', 'not_gameday'))
('09/23/2011', ('ASSAULT 3 & RELATED OFFENSES', '40.828086316', '-73.922035217', 'Yankees', 'not_gameday'))
